Date,Flights Climbed (count),Step Count (count),Walking + Running Distance (mi),Day of Week,Gonzaga
2021-08-29 00:00:00,18.0,15128.0,7.64,6,yes
2021-08-30 00:00:00,48.0,16358.0,7.65,0,yes
2021-08-31 00:00:00,19.0,20600.0,9.56,1,yes
2021-09-01 00:00:00,19.0,14389.0,6.84,2,yes
2021-09-02 00:00:00,9.0,13823.0,7.19,3,yes
2021-09-03 00:00:00,51.0,17820.0,8.81,4,yes
2021-09-04 00:00:00,60.0,15327.0,7.44,5,yes
2021-09-05 00:00:00,24.0,10363.0,4.95,6,yes
2021-09-06 00:00:00,33.0,9586.0,4.32,0,yes
2021-09-07 00:00:00,14.0,11853.0,5.22,1,yes
2021-09-08 00:00:00,10.0,6729.0,3.03,2,yes
2021-09-09 00:00:00,8.0,7038.0,2.94,3,yes
2021-09-10 00:00:00,18.0,17376.0,8.34,4,yes
2021-09-11 00:00:00,6.0,5885.0,2.8,5,yes
2021-09-12 00:00:00,3.0,3582.0,1.56,6,yes
2021-09-13 00:00:00,45.0,9481.0,4.36,0,yes
2021-09-14 00:00:00,5.0,3282.0,1.53,1,yes
2021-09-15 00:00:00,17.0,9131.0,4.0,2,yes
2021-09-16 00:00:00,12.0,7229.0,3.15,3,yes
2021-09-17 00:00:00,10.0,6555.0,2.98,4,yes
2021-09-18 00:00:00,7.0,9198.0,4.8,5,yes
2021-09-19 00:00:00,7.0,5960.0,2.93,6,yes
2021-09-20 00:00:00,46.0,13256.0,6.09,0,yes
2021-09-21 00:00:00,8.0,3987.0,1.77,1,yes
2021-09-22 00:00:00,11.0,5991.0,2.87,2,yes
2021-09-23 00:00:00,10.0,6891.0,3.22,3,yes
2021-09-24 00:00:00,13.0,15952.0,8.43,4,yes
2021-09-25 00:00:00,8.0,12526.0,6.06,5,yes
2021-09-26 00:00:00,5.0,6020.0,2.97,6,yes
2021-09-27 00:00:00,49.0,13602.0,6.3,0,yes
2021-09-28 00:00:00,8.0,5128.0,2.37,1,yes
2021-09-29 00:00:00,16.0,7816.0,3.59,2,yes
2021-09-30 00:00:00,10.0,5352.0,2.5,3,yes
2021-10-01 00:00:00,15.0,9152.0,4.28,4,yes
2021-10-02 00:00:00,9.0,7218.0,3.4,5,yes
2021-10-03 00:00:00,8.0,4923.0,2.29,6,yes
2021-10-04 00:00:00,26.0,9533.0,4.52,0,yes
2021-10-05 00:00:00,8.0,4170.0,1.99,1,yes
2021-10-06 00:00:00,15.0,9254.0,4.17,2,yes
2021-10-07 00:00:00,8.0,7853.0,3.76,3,yes
2021-10-08 00:00:00,18.0,9441.0,4.3,4,yes
2021-10-09 00:00:00,7.0,8222.0,3.69,5,yes
2021-10-10 00:00:00,10.0,6303.0,3.14,6,yes
2021-10-11 00:00:00,35.0,13001.0,6.37,0,yes
2021-10-12 00:00:00,8.0,4704.0,2.27,1,yes
2021-10-13 00:00:00,18.0,7687.0,3.48,2,yes
2021-10-14 00:00:00,9.0,5441.0,2.45,3,yes
2021-10-15 00:00:00,5.0,7719.0,3.46,4,yes
2021-10-16 00:00:00,9.5,6447.0,3.07,5,yes
2021-10-17 00:00:00,14.0,12978.0,6.1,6,yes
2021-10-18 00:00:00,38.0,12550.0,6.05,0,yes
2021-10-19 00:00:00,14.0,5622.0,2.61,1,yes
2021-10-20 00:00:00,10.0,6844.0,3.38,2,yes
2021-10-21 00:00:00,6.0,5223.0,2.5,3,yes
2021-10-22 00:00:00,35.0,13790.0,6.65,4,yes
2021-10-23 00:00:00,34.0,10086.0,4.99,5,yes
2021-10-24 00:00:00,7.0,4779.0,2.36,6,yes
2021-10-25 00:00:00,28.0,7440.0,3.42,0,yes
2021-10-26 00:00:00,7.0,3640.0,1.74,1,yes
2021-10-27 00:00:00,13.0,6500.0,3.03,2,yes
2021-10-28 00:00:00,10.0,4878.0,2.47,3,yes
2021-10-29 00:00:00,20.0,14258.0,6.91,4,yes
2021-10-30 00:00:00,9.0,8988.0,4.36,5,yes
2021-10-31 00:00:00,2.0,1407.0,0.646,6,yes
2021-11-01 00:00:00,35.0,9576.0,4.61,0,yes
2021-11-02 00:00:00,5.0,5627.0,2.37,1,yes
2021-11-03 00:00:00,13.0,6856.0,3.03,2,yes
2021-11-04 00:00:00,3.0,4301.0,1.93,3,yes
2021-11-05 00:00:00,21.0,14116.0,6.9,4,yes
2021-11-06 00:00:00,27.0,10202.0,4.88,5,yes
2021-11-07 00:00:00,19.0,7262.0,3.44,6,yes
2021-11-08 00:00:00,25.0,6851.0,3.14,0,yes
2021-11-09 00:00:00,5.0,4249.0,2.18,1,yes
2021-11-10 00:00:00,10.0,5090.0,2.49,2,yes
2021-11-11 00:00:00,13.0,6047.0,2.95,3,yes
2021-11-12 00:00:00,26.0,13675.0,6.35,4,yes
2021-11-13 00:00:00,3.0,10197.0,4.58,5,yes
2021-11-14 00:00:00,7.0,6238.0,2.76,6,yes
2021-11-15 00:00:00,28.0,7007.0,3.38,0,yes
2021-11-16 00:00:00,10.0,6670.0,3.11,1,yes
2021-11-17 00:00:00,7.0,4968.0,2.3,2,yes
2021-11-18 00:00:00,3.0,2976.0,1.43,3,yes
2021-11-19 00:00:00,22.0,12601.0,6.33,4,yes
