Date,Flights Climbed (count),Step Count (count),Walking + Running Distance (mi),Day of Week,Gonzaga
2021-03-10 00:00:00,6.0,2338.0,0.915,2,no
2021-03-11 00:00:00,4.0,2238.0,1.01,3,no
2021-03-12 00:00:00,3.0,790.0,0.346,4,no
2021-03-13 00:00:00,3.0,722.0,0.312,5,no
2021-03-14 00:00:00,2.0,990.0,0.405,6,no
2021-03-15 00:00:00,2.0,684.0,0.267,0,no
2021-03-16 00:00:00,3.0,500.0,0.22,1,no
2021-03-17 00:00:00,5.0,3635.0,1.65,2,no
2021-03-18 00:00:00,1.0,1657.0,0.67,3,no
2021-03-19 00:00:00,7.0,1152.0,0.489,4,no
2021-03-20 00:00:00,4.0,1090.0,0.482,5,no
2021-03-21 00:00:00,1.0,383.0,0.166,6,no
2021-03-22 00:00:00,5.0,1325.0,0.538,0,no
2021-03-23 00:00:00,2.0,3468.0,1.3,1,no
2021-03-24 00:00:00,1.0,8896.0,3.57,2,no
2021-03-25 00:00:00,3.0,9351.0,4.04,3,no
2021-03-26 00:00:00,4.0,9336.0,3.62,4,no
2021-03-27 00:00:00,3.0,7259.0,3.17,5,no
2021-03-28 00:00:00,11.0,9890.0,4.41,6,no
2021-03-29 00:00:00,1.0,9543.0,3.85,0,no
2021-03-30 00:00:00,1.0,9291.0,3.91,1,no
2021-03-31 00:00:00,12.0,13205.0,6.06,2,no
2021-04-01 00:00:00,8.0,9590.0,4.39,3,no
2021-04-02 00:00:00,4.0,2492.0,1.07,4,no
2021-04-03 00:00:00,4.0,917.0,0.398,5,no
2021-04-04 00:00:00,4.0,920.0,0.381,6,no
2021-04-05 00:00:00,1.0,337.0,0.142,0,no
2021-04-06 00:00:00,2.0,9233.0,4.02,1,no
2021-04-07 00:00:00,3.0,11039.0,4.94,2,no
2021-04-08 00:00:00,2.0,5470.0,2.42,3,no
2021-04-09 00:00:00,1.0,8598.0,3.67,4,no
2021-04-10 00:00:00,3.0,1355.0,0.575,5,no
2021-04-11 00:00:00,3.0,666.0,0.29,6,no
2021-04-12 00:00:00,2.0,914.0,0.402,0,no
2021-04-13 00:00:00,2.0,7746.0,3.36,1,no
2021-04-14 00:00:00,2.0,14980.0,6.44,2,no
2021-04-15 00:00:00,3.0,8102.0,3.41,3,no
2021-04-16 00:00:00,1.0,9882.0,4.46,4,no
2021-04-17 00:00:00,1.0,13378.0,5.89,5,no
2021-04-18 00:00:00,1.5,2637.0,1.09,6,no
2021-04-19 00:00:00,2.0,3618.0,1.63,0,no
2021-04-20 00:00:00,1.0,7564.0,3.46,1,no
2021-04-21 00:00:00,2.0,3448.0,1.57,2,no
2021-04-22 00:00:00,5.0,5067.0,2.27,3,no
2021-04-23 00:00:00,10.0,3624.0,1.69,4,no
2021-04-24 00:00:00,4.0,1483.0,0.655,5,no
2021-04-25 00:00:00,2.0,5246.0,2.23,6,no
2021-04-26 00:00:00,2.3333333333333335,10929.0,4.74,0,no
2021-04-27 00:00:00,2.6666666666666665,14420.0,6.53,1,no
2021-04-28 00:00:00,3.0,8738.0,3.98,2,no
2021-04-29 00:00:00,3.0,12673.0,5.71,3,no
2021-04-30 00:00:00,1.0,17091.0,7.76,4,no
2021-05-01 00:00:00,4.0,8012.0,3.4,5,no
2021-05-02 00:00:00,7.0,8605.0,3.49,6,no
2021-05-03 00:00:00,3.0,5113.0,2.28,0,no
2021-05-04 00:00:00,2.0,4878.0,2.2,1,no
2021-05-05 00:00:00,8.0,9132.0,4.28,2,no
2021-05-06 00:00:00,2.0,4205.0,1.82,3,no
2021-05-07 00:00:00,2.0,8519.0,3.88,4,no
2021-05-08 00:00:00,5.0,13371.0,5.64,5,no
2021-05-09 00:00:00,2.0,5423.0,2.25,6,no
2021-05-10 00:00:00,3.0,8316.0,3.51,0,no
2021-05-11 00:00:00,3.0,7260.0,3.14,1,no
2021-05-12 00:00:00,3.0,9765.0,4.53,2,no
2021-05-13 00:00:00,2.0,8647.0,3.81,3,no
2021-05-14 00:00:00,7.0,12244.0,5.32,4,no
2021-05-15 00:00:00,5.0,8063.0,3.19,5,no
2021-05-16 00:00:00,3.0,8117.0,3.63,6,no
2021-05-17 00:00:00,5.0,16504.0,7.41,0,no
2021-05-18 00:00:00,8.0,9863.0,4.46,1,no
2021-05-19 00:00:00,4.0,11481.0,4.69,2,no
2021-05-20 00:00:00,6.0,4723.0,2.13,3,no
2021-05-21 00:00:00,8.0,3383.0,1.56,4,no
2021-05-22 00:00:00,9.0,3410.0,1.54,5,no
2021-05-23 00:00:00,3.0,3227.0,1.42,6,no
2021-05-24 00:00:00,2.0,4685.0,2.05,0,no
2021-05-25 00:00:00,4.0,3934.0,1.61,1,no
2021-05-26 00:00:00,3.0,7411.0,3.11,2,no
2021-05-27 00:00:00,3.0,8455.0,3.63,3,no
2021-05-28 00:00:00,1.0,5591.0,2.46,4,no
2021-05-29 00:00:00,2.0,9919.0,4.32,5,no
2021-05-30 00:00:00,2.5,7239.0,3.35,6,no
2021-05-31 00:00:00,3.0,5349.0,2.18,0,no
2021-06-01 00:00:00,4.5,3815.0,1.63,1,no
2021-06-02 00:00:00,6.0,7221.0,3.02,2,no
2021-06-03 00:00:00,4.5,5234.0,2.03,3,no
2021-06-04 00:00:00,3.0,9279.0,4.12,4,no
2021-06-05 00:00:00,6.0,12776.0,5.44,5,no
2021-06-06 00:00:00,5.0,6373.0,2.61,6,no
2021-06-07 00:00:00,3.0,7496.0,2.96,0,no
2021-06-08 00:00:00,1.0,3649.0,1.6,1,no
2021-06-09 00:00:00,4.0,4360.0,1.74,2,no
2021-06-10 00:00:00,5.0,374.0,0.162,3,no
2021-06-11 00:00:00,6.0,1870.0,0.878,4,no
2021-06-12 00:00:00,4.0,594.0,0.255,5,no
2021-06-13 00:00:00,4.0,1562.0,0.648,6,no
2021-06-14 00:00:00,3.0,1228.0,0.516,0,no
2021-06-15 00:00:00,5.0,2513.0,1.1,1,no
2021-06-16 00:00:00,3.0,4759.0,1.98,2,no
2021-06-17 00:00:00,2.0,484.0,0.201,3,no
2021-06-18 00:00:00,18.0,3034.0,1.27,4,no
2021-06-19 00:00:00,4.0,1556.0,0.68,5,no
2021-06-20 00:00:00,10.0,2948.0,1.16,6,no
2021-06-21 00:00:00,6.0,3070.0,1.37,0,no
2021-06-22 00:00:00,4.0,706.0,0.32,1,no
2021-06-23 00:00:00,5.0,2414.0,0.994,2,no
2021-06-24 00:00:00,2.0,262.0,0.116,3,no
2021-06-25 00:00:00,7.0,2128.0,0.903,4,no
2021-06-26 00:00:00,3.0,1694.0,0.729,5,no
2021-06-27 00:00:00,3.0,1868.0,0.838,6,no
2021-06-28 00:00:00,2.0,1189.0,0.53,0,no
2021-06-29 00:00:00,2.0,616.0,0.277,1,no
2021-06-30 00:00:00,3.0,1076.0,0.471,2,no
2021-07-01 00:00:00,2.0,1371.0,0.584,3,no
2021-07-02 00:00:00,4.0,979.0,0.45,4,no
2021-07-03 00:00:00,2.0,1215.0,0.526,5,no
2021-07-04 00:00:00,7.0,3430.0,1.49,6,no
2021-07-05 00:00:00,5.0,3696.0,1.54,0,no
2021-07-06 00:00:00,6.0,2184.0,0.903,1,no
2021-07-07 00:00:00,6.0,1571.0,0.662,2,no
2021-07-08 00:00:00,6.0,2519.0,1.09,3,no
2021-07-09 00:00:00,5.0,1218.0,0.488,4,no
2021-07-10 00:00:00,7.0,3909.0,1.55,5,no
2021-07-11 00:00:00,1.0,466.0,0.196,6,no
2021-07-12 00:00:00,5.0,2653.0,1.13,0,no
2021-07-13 00:00:00,5.0,2345.0,1.03,1,no
2021-07-14 00:00:00,8.0,2167.0,0.968,2,no
2021-07-15 00:00:00,3.0,2158.0,0.909,3,no
2021-07-16 00:00:00,6.0,1603.0,0.684,4,no
2021-07-17 00:00:00,3.0,628.0,0.276,5,no
2021-07-18 00:00:00,3.0,1124.0,0.474,6,no
2021-07-19 00:00:00,7.0,3873.0,1.47,0,no
2021-07-20 00:00:00,5.0,1793.0,0.745,1,no
2021-07-21 00:00:00,2.0,1023.0,0.458,2,no
2021-07-22 00:00:00,3.0,1980.0,0.821,3,no
2021-07-23 00:00:00,1.0,168.0,0.073,4,no
2021-07-24 00:00:00,1.0,336.0,0.143,5,no
2021-07-25 00:00:00,4.0,3938.0,1.43,6,no
2021-07-26 00:00:00,4.0,974.0,0.419,0,no
2021-07-27 00:00:00,4.0,1146.0,0.481,1,no
2021-07-28 00:00:00,3.0,706.0,0.312,2,no
2021-07-29 00:00:00,3.0,1334.0,0.517,3,no
2021-07-30 00:00:00,4.0,2084.0,0.901,4,no
2021-07-31 00:00:00,6.0,2653.0,1.02,5,no
2021-08-01 00:00:00,2.0,4878.0,1.91,6,no
2021-08-02 00:00:00,7.0,1693.0,0.733,0,no
